@timestamp,@message
2026-03-26 02:43:05.092,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492985.0920,4066.60,BENCHMARK,
"
2026-03-26 02:43:05.092,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492985.0921,4015.53,BENCHMARK,
"
2026-03-26 02:43:05.092,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492985.0921,4034.50,BENCHMARK,
"
2026-03-26 02:43:05.092,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492985.0922,3690.72,BENCHMARK,
"
2026-03-26 02:43:05.092,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492985.0922,3402.92,BENCHMARK,
"
2026-03-26 02:43:05.092,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492985.0922,3370.64,BENCHMARK,
"
2026-03-26 02:43:05.092,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492985.0923,2509.15,BENCHMARK,
"
2026-03-26 02:43:05.092,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492985.0923,2453.91,BENCHMARK,
"
2026-03-26 02:43:05.091,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492985.0920,4106.20,BENCHMARK,
"
2026-03-26 02:43:04.975,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.9750,2351.66,BENCHMARK,
"
2026-03-26 02:43:04.974,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.9748,3513.26,BENCHMARK,
"
2026-03-26 02:43:04.974,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.9748,3225.49,BENCHMARK,
"
2026-03-26 02:43:04.974,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.9749,2962.40,BENCHMARK,
"
2026-03-26 02:43:04.974,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.9749,2817.84,BENCHMARK,
"
2026-03-26 02:43:04.974,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.9750,2660.28,BENCHMARK,
"
2026-03-26 02:43:04.572,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5727,3592.35,BENCHMARK,
"
2026-03-26 02:43:04.572,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5728,3418.05,BENCHMARK,
"
2026-03-26 02:43:04.572,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5728,2856.89,BENCHMARK,
"
2026-03-26 02:43:04.572,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5729,2253.73,BENCHMARK,
"
2026-03-26 02:43:04.572,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5729,1946.50,BENCHMARK,
"
2026-03-26 02:43:04.572,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5729,1941.51,BENCHMARK,
"
2026-03-26 02:43:04.558,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5580,1986.10,BENCHMARK,
"
2026-03-26 02:43:04.558,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5581,1946.14,BENCHMARK,
"
2026-03-26 02:43:04.557,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5577,3405.53,BENCHMARK,
"
2026-03-26 02:43:04.557,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5577,3113.68,BENCHMARK,
"
2026-03-26 02:43:04.557,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5578,3011.08,BENCHMARK,
"
2026-03-26 02:43:04.557,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5578,2886.03,BENCHMARK,
"
2026-03-26 02:43:04.557,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5579,2292.28,BENCHMARK,
"
2026-03-26 02:43:04.557,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5579,2250.06,BENCHMARK,
"
2026-03-26 02:43:04.557,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5579,2232.67,BENCHMARK,
"
2026-03-26 02:43:04.557,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492984.5580,2083.16,BENCHMARK,
"
2026-03-26 02:43:03.836,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.8363,2693.73,BENCHMARK,
"
2026-03-26 02:43:03.836,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.8363,2429.14,BENCHMARK,
"
2026-03-26 02:43:03.836,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.8364,2368.23,BENCHMARK,
"
2026-03-26 02:43:03.836,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.8364,2291.46,BENCHMARK,
"
2026-03-26 02:43:03.836,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.8365,1982.61,BENCHMARK,
"
2026-03-26 02:43:03.836,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.8365,1843.14,BENCHMARK,
"
2026-03-26 02:43:03.836,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.8365,1802.80,BENCHMARK,
"
2026-03-26 02:43:03.836,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.8366,1760.83,BENCHMARK,
"
2026-03-26 02:43:03.836,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.8366,1526.31,BENCHMARK,
"
2026-03-26 02:43:03.836,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.8367,1513.14,BENCHMARK,
"
2026-03-26 02:43:03.713,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.7130,1078.81,BENCHMARK,
"
2026-03-26 02:43:03.712,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.7127,2340.21,BENCHMARK,
"
2026-03-26 02:43:03.712,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.7128,2060.21,BENCHMARK,
"
2026-03-26 02:43:03.712,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.7128,1930.06,BENCHMARK,
"
2026-03-26 02:43:03.712,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.7129,1728.39,BENCHMARK,
"
2026-03-26 02:43:03.712,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.7130,1711.78,BENCHMARK,
"
2026-03-26 02:43:03.077,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492983.0768,2426.96,BENCHMARK,
"
2026-03-26 02:43:02.915,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492982.9155,2266.84,BENCHMARK,
"
2026-03-26 02:43:02.915,"[METRICS] AWS,Worker,execution_benchmark_queue,1774492982.9155,2260.78,BENCHMARK,
"